group,primary_cat,title,abstract
Statistics,stat.AP,"Fast dimension-reduced climate model calibration and the effect of data
  aggregation","  How will the climate system respond to anthropogenic forcings? One approach
to this question relies on climate model projections. Current climate
projections are considerably uncertain. Characterizing and, if possible,
reducing this uncertainty is an area of ongoing research. We consider the
problem of making projections of the North Atlantic meridional overturning
circulation (AMOC). Uncertainties about climate model parameters play a key
role in uncertainties in AMOC projections. When the observational data and the
climate model output are high-dimensional spatial data sets, the data are
typically aggregated due to computational constraints. The effects of
aggregation are unclear because statistically rigorous approaches for model
parameter inference have been infeasible for high-resolution data. Here we
develop a flexible and computationally efficient approach using principal
components and basis expansions to study the effect of spatial data aggregation
on parametric and projection uncertainties. Our Bayesian reduced-dimensional
calibration approach allows us to study the effect of complicated error
structures and data-model discrepancies on our ability to learn about climate
model parameters from high-dimensional data. Considering high-dimensional
spatial observations reduces the effect of deep uncertainty associated with
prior specifications for the data-model discrepancy. Also, using the
unaggregated data results in sharper projections based on our climate model.
Our computationally efficient approach may be widely applicable to a variety of
high-dimensional computer model calibration problems.
"
Quantitative Finance,q-fin.CP,"Calibration and filtering for multi factor commodity models with
  seasonality: incorporating panel data from futures contracts","  We examine a general multi-factor model for commodity spot prices and futures
valuation. We extend the multi-factor long-short model in Schwartz and Smith
(2000) and Yan (2002) in two important aspects: firstly we allow for both the
long and short term dynamic factors to be mean reverting incorporating
stochastic volatility factors and secondly we develop an additive structural
seasonality model. Then a Milstein discretized non-linear stochastic volatility
state space representation for the model is developed which allows for futures
and options contracts in the observation equation. We then develop numerical
methodology based on an advanced Sequential Monte Carlo algorithm utilising
Particle Markov chain Monte Carlo to perform calibration of the model jointly
with the filtering of the latent processes for the long-short dynamics and
volatility factors. In this regard we explore and develop a novel methodology
based on an adaptive Rao-Blackwellised version of the Particle Markov chain
Monte Carlo methodology. In doing this we deal accurately with the
non-linearities in the state-space model which are therefore introduced into
the filtering framework. We perform analysis on synthetic and real data for oil
commodities.
"
Quantitative Biology,q-bio.CB,"A mathematical model of contact inhibition of locomotion: coupling
  contractility and focal adhesions","  Cell migration is often accompanied by collisions with other cells, which can
lead to cessation of movement, repolarization, and migration away from the
contact site - a process termed contact inhibition of locomotion (CIL). During
CIL, the coupling between actomyosin contractilityand cell-substrate adhesions
is modified. However, mathematical models describing stochastic cell migration
and collision outcomes as a result of the coupling remain elusive. Here, we
extend our previously developed stochastic model of single cell migration to
include CIL. Our simulation results explain, in terms of the modified
contractility and adhesion dynamics, several experimentally observed findings
regarding CIL. These include response modulation in the presence of an external
cue and alterations of group migration in the absence of CIL. Together with our
previous findings, our work is able to explain a wide range of observations
about single and collective cell migration.
"
Mathematics,math.ST,"Sample eigenvalue based detection of high dimensional signals in white
  noise using relatively few samples","  We present a mathematically justifiable, computationally simple, sample
eigenvalue based procedure for estimating the number of high-dimensional
signals in white noise using relatively few samples. The main motivation for
considering a sample eigenvalue based scheme is the computational simplicity
and the robustness to eigenvector modelling errors which are can adversely
impact the performance of estimators that exploit information in the sample
eigenvectors.
  There is, however, a price we pay by discarding the information in the sample
eigenvectors; we highlight a fundamental asymptotic limit of sample eigenvalue
based detection of weak/closely spaced high-dimensional signals from a limited
sample size. This motivates our heuristic definition of the effective number of
identifiable signals which is equal to the number of ""signal"" eigenvalues of
the population covariance matrix which exceed the noise variance by a factor
strictly greater than 1+sqrt(Dimensionality of the system/Sample size). The
fundamental asymptotic limit brings into sharp focus why, when there are too
few samples available so that the effective number of signals is less than the
actual number of signals, underestimation of the model order is unavoidable (in
an asymptotic sense) when using any sample eigenvalue based detection scheme,
including the one proposed herein. The analysis reveals why adding more sensors
can only exacerbate the situation. Numerical simulations are used to
demonstrate that the proposed estimator consistently estimates the true number
of signals in the dimension fixed, large sample size limit and the effective
number of identifiable signals in the large dimension, large sample size limit.
"
Physics,physics.app-ph,"Scaling of graphene field-effect transistors supported on hexagonal
  boron nitride: radio-frequency stability as a limiting factor","  The quality of graphene in nanodevices has increased hugely thanks to the use
of hexagonal boron nitride as a supporting layer. This paper studies to which
extent hBN together with channel length scaling can be exploited in graphene
field effect transistors (GFETs) to get a competitive radio frequency (RF)
performance. Carrier mobility and saturation velocity were obtained from an
ensemble Monte Carlo simulator that accounted for the relevant scattering
mechanisms (intrinsic phonons, scattering with impurities and defects, etc.).
This information is fed into a self consistent simulator, which solves the
drift diffusion equation coupled with the two dimensional Poisson's equation to
take full account of short channel effects. Simulated GFET characteristics were
benchmarked against experimental data from our fabricated devices. Our
simulations show that scalability is supposed to bring to RF performance an
improvement that is, however, highly limited by instability. Despite the
possibility of a lower performance, a careful choice of the bias point can
avoid instability. Nevertheless, maximum oscillation frequencies are still
achievable in the THz region for channel lengths of a few hundreds of
nanometers.
"
Electrical Engineering,eess.IV,"Learning a Probabilistic Strategy for Computational Imaging Sensor
  Selection","  Optimized sensing is important for computational imaging in low-resource
environments, when images must be recovered from severely limited measurements.
In this paper, we propose a physics-constrained, fully differentiable,
autoencoder that learns a probabilistic sensor-sampling strategy for optimized
sensor design. The proposed method learns a system's preferred sampling
distribution that characterizes the correlations between different sensor
selections as a binary, fully-connected Ising model. The learned probabilistic
model is achieved by using a Gibbs sampling inspired network architecture, and
is trained end-to-end with a reconstruction network for efficient co-design.
The proposed framework is applicable to sensor selection problems in a variety
of computational imaging applications. In this paper, we demonstrate the
approach in the context of a very-long-baseline-interferometry (VLBI) array
design task, where sensor correlations and atmospheric noise present unique
challenges. We demonstrate results broadly consistent with expectation, and
draw attention to particular structures preferred in the telescope array
geometry that can be leveraged to plan future observations and design array
expansions.
"
Statistics,stat.ME,"Sparse regression algorithm for activity estimation in $\gamma $
  spectrometry","  We consider the counting rate estimation of an unknown radioactive source,
which emits photons at times modeled by an homogeneous Poisson process. A
spectrometer converts the energy of incoming photons into electrical pulses,
whose number provides a rough estimate of the intensity of the Poisson process.
When the activity of the source is high, a physical phenomenon known as pileup
effect distorts direct measurements, resulting in a significant bias to the
standard estimators of the source activities used so far in the field. We show
in this paper that the problem of counting rate estimation can be interpreted
as a sparse regression problem. We suggest a post-processed, non-negative,
version of the Least Absolute Shrinkage and Selection Operator (LASSO) to
estimate the photon arrival times. The main difficulty in this problem is that
no theoretical conditions can guarantee consistency in sparsity of LASSO,
because the dictionary is not ideal and the signal is sampled. We therefore
derive theoretical conditions and bounds which illustrate that the proposed
method can none the less provide a good, close to the best attainable, estimate
of the counting rate activity. The good performances of the proposed approach
are studied on simulations and real datasets.
"
Computer Science,cs.AR,"Low Cost PC Based Real Time Data Logging System Using PCs Parallel Port
  For Slowly Varying Signals","  A low cost PC based real time data logging system can be used in the
laboratories for the measurement, monitoring and storage of the data for slowly
varying signals in science and engineering stream. This can be designed and
interfaced to the PCs Parallel Port, which is common to all desktop computers
or Personal Computers (PCs). By the use of this data logging system one can
monitor, measure and store data for slowly varying signals, which is hard to
visualise the signal waveforms by ordinary CRO (Cathode Ray Oscilloscope) and
DSO (Digital Storage Oscilloscope). The data so stored can be used for further
study and analysis. It can be used for a wide range of applications to monitor
and store data of temperature, humidity, light intensity, ECG signals etc. with
proper signal conditioning circuitry.
"
Electrical Engineering,eess.SY,"Rapid Transitions with Robust Accelerated Delayed Self Reinforcement for
  Consensus-Based Networks","  Rapid transitions are important for quick response of consensus-based,
multi-agent networks to external stimuli. While high-gain can increase response
speed, potential instability tends to limit the maximum possible gain, and
therefore, limits the maximum convergence rate to consensus during transitions.
Since the update law for multi-agent networks with symmetric graphs can be
considered as the gradient of its Laplacian-potential function, Nesterov-type
accelerated-gradient approaches from optimization theory, can further improve
the convergence rate of such networks. An advantage of the accelerated-gradient
approach is that it can be implemented using accelerated
delayed-self-reinforcement (A-DSR), which does not require new information from
the network nor modifications in the network connectivity. However, the
accelerated-gradient approach is not directly applicable to general directed
graphs since the update law is not the gradient of the Laplacian-potential
function. The main contribution of this work is to extend the
accelerated-gradient approach to general directed graph networks, without
requiring the graph to be strongly connected. Additionally, while both the
momentum term and outdated-feedback term in the accelerated-gradient approach
are important in general, it is shown that the momentum term alone is
sufficient to achieve balanced robustness and rapid transitions without
oscillations in the dominant mode, for networks whose graph Laplacians have
real spectrum. Simulation results are presented to illustrate the performance
improvement with the proposed Robust A-DSR of 40% in structural robustness and
50% in convergence rate to consensus, when compared to the case without the
A-DSR. Moreover, experimental results are presented that show a similar 37%
faster convergence with the Robust A-DSR when compared to the case without the
A-DSR.
"
Electrical Engineering,eess.IV,"Locally Linear Embedding and fMRI feature selection in psychiatric
  classification","  Background:
  Functional magnetic resonance imaging (fMRI) provides non-invasive measures
of neuronal activity using an endogenous Blood Oxygenation-Level Dependent
(BOLD) contrast. This article introduces a nonlinear dimensionality reduction
(Locally Linear Embedding) to extract informative measures of the underlying
neuronal activity from BOLD time-series. The method is validated using the
Leave-One-Out-Cross-Validation (LOOCV) accuracy of classifying psychiatric
diagnoses using resting-state and task-related fMRI.
  Methods:
  Locally Linear Embedding of BOLD time-series (into each voxel's respective
tensor) was used to optimise feature selection. This uses Gau\ss' Principle of
Least Constraint to conserve quantities over both space and time. This
conservation was assessed using LOOCV to greedily select time points in an
incremental fashion on training data that was categorised in terms of
psychiatric diagnoses.
  Findings:
  The embedded fMRI gave highly diagnostic performances (> 80%) on eleven
publicly-available datasets containing healthy controls and patients with
either Schizophrenia, Attention-Deficit Hyperactivity Disorder (ADHD), or
Autism Spectrum Disorder (ASD). Furthermore, unlike the original fMRI data
before or after using Principal Component Analysis (PCA) for artefact
reduction, the embedded fMRI furnished significantly better than chance
classification (defined as the majority class proportion) on ten of eleven
datasets
  Interpretation:
  Locally Linear Embedding appears to be a useful feature extraction procedure
that retains important information about patterns of brain activity
distinguishing among psychiatric cohorts.
"
Quantitative Biology,q-bio.GN,From DNA sequence analysis to modeling replication in the human genome,"  We explore the large-scale behavior of nucleotide compositional strand
asymmetries along human chromosomes. As we observe for 7 of 9 origins of
replication experimentally identified so far, the (TA+GC) skew displays rather
sharp upward jumps, with a linear decreasing profile in between two successive
jumps. We present a model of replication with well positioned replication
origins and random terminations that accounts for the observed characteristic
serrated skew profiles. We succeed in identifying 287 pairs of putative
adjacent replication origins with an origin spacing approximately 1-2 Mbp that
are likely to correspond to replication foci observed in interphase nuclei and
recognized as stable structures that persist throughout subsequent cell
generations.
"
Electrical Engineering,eess.IV,Stain Style Transfer using Transitive Adversarial Networks,"  Digitized pathological diagnosis has been in increasing demand recently. It
is well known that color information is critical to the automatic and visual
analysis of pathological slides. However, the color variations due to various
factors not only have negative impact on pathologist's diagnosis, but also will
reduce the robustness of the algorithms. The factors that cause the color
differences are not only in the process of making the slices, but also in the
process of digitization. Different strategies have been proposed to alleviate
the color variations. Most of such techniques rely on collecting color
statistics to perform color matching across images and highly dependent on a
reference template slide. Since the pathological slides between hospitals are
usually unpaired, these methods do not yield good matching results. In this
work, we propose a novel network that we refer to as Transitive Adversarial
Networks (TAN) to transfer the color information among slides from different
hospitals or centers. It is not necessary for an expert to pick a
representative reference slide in the proposed TAN method. We compare the
proposed method with the state-of-the-art methods quantitatively and
qualitatively. Compared with the state-of-the-art methods, our method yields an
improvement of 0.87dB in terms of PSNR, demonstrating the effectiveness of the
proposed TAN method in stain style transfer.
"
Mathematics,math.AP,Regularity theory for fully nonlinear integro-differential equations,"  We consider nonlinear integro-differential equations, like the ones that
arise from stochastic control problems with purely jump L\`evy processes. We
obtain a nonlocal version of the ABP estimate, Harnack inequality, and interior
$C^{1,\alpha}$ regularity for general fully nonlinear integro-differential
equations. Our estimates remain uniform as the degree of the equation
approaches two, so they can be seen as a natural extension of the regularity
theory for elliptic partial differential equations.
"
Economics,econ.EM,Robust Identification in Randomized Experiments with Noncompliance,"  Instrument variable (IV) methods are widely used in empirical research to
identify causal effects of a policy. In the local average treatment effect
(LATE) framework, the IV estimand identifies the LATE under three main
assumptions: random assignment, exclusion restriction, and monotonicity.
However, these assumptions are often questionable in many applications, leading
some researchers to doubt the causal interpretation of the IV estimand. This
paper considers a robust identification of causal parameters in a randomized
experiment setting with noncompliance where the standard LATE assumptions could
be violated. We discuss identification under two sets of weaker assumptions:
random assignment and exclusion restriction (without monotonicity), and random
assignment and monotonicity (without exclusion restriction). We derive sharp
bounds on some causal parameters under these two sets of relaxed LATE
assumptions. Finally, we apply our method to revisit the random information
experiment conducted in Bursztyn, Gonz\'alez, and Yanagizawa-Drott (2020) and
find that the standard LATE assumptions are jointly incompatible in this
application. We then estimate the robust identified sets under the two sets of
relaxed assumptions.
"
Nonlinear Sciences,nlin.CD,"Modulational instability, wave breaking and formation of large scale
  dipoles in the atmosphere","  In the present Letter we use the Direct Numerical Simulation (DNS) of the
Navier-Stokes equation for a two-phase flow (water and air) to study the
dynamics of the modulational instability of free surface waves and its
contribution to the interaction between ocean and atmosphere. If the steepness
of the initial wave is large enough, we observe a wave breaking and the
formation of large scale dipole structures in the air. Because of the multiple
steepening and breaking of the waves under unstable wave packets, a train of
dipoles is released and propagate in the atmosphere at a height comparable with
the wave length. The amount of energy dissipated by the breaker in water and
air is considered and, contrary to expectations, we observe that the energy
dissipation in air is larger than the one in the water. Possible consequences
on the wave modelling and on the exchange of aerosols and gases between air and
water are discussed.
"
Physics,physics.ed-ph,"The Transfer of Knowledge from Physics and Mathematics to Engineering
  Applications","  The objective of this paper is to describe a development of an innovative
approach to enable students studying science, technology, engineering, and
mathematics (STEM) to apply the concepts learned in physics and mathematics to
engineering problem-solving challenges. Our goal is to facilitate students
transfer of knowledge from theory to engineering applications, thereby
increasing student academic performance, retention, persistence, and
graduation. To achieve the goal we are creating a virtual community of students
and faculty as a vehicle for promoting the transfer of knowledge using
e-learning and e-teaching mechanisms.
"
Quantitative Biology,q-bio.PE,Ideal Free Distribution in Agents with Evolved Neural Architectures,"  We investigate the matching of agents to resources in a computational ecology
configured to present heterogeneous resource patches to evolving, neurally
controlled agents. We repeatedly find a nearly optimal, ideal free distribution
(IFD) of agents to resources. Deviations from IFD are shown to be consistent
with models of human foraging behaviors, and possibly driven by spatial
constraints and maximum foraging rates. The lack of any model parameters
addressing agent foraging or clustering behaviors and the biological
verisimilitude of our agent control systems differentiates these results from
simpler models and suggests the possibility of exploring the underlying
mechanisms by which optimal foraging emerges.
"
Mathematics,math.NA,"Two-scale numerical simulation of the weakly compressible 1D isentropic
  Euler equations","  Motivated by the difficulty to solve numerically the weakly compressible 1D
isentropic Euler equations with classical methods, we develop in this paper a
two scale numerical method on this model. This method is based on two scale
convergence theory developped by N'Guetseng and Allaire, and finite volume
scheme. Furthermore, we do some numerical simulations in order to verify that
the two-scale numerical method is more and more accurate when the Mach number
diminishes.
"
Computer Science,cs.HC,Reconstructing Experiences through Sketching,"  We present iScale, a survey tool for the retrospective elicitation of
longitudinal user experience data. iScale employs sketching in imposing a
process in the reconstruction of one's experiences with the aim to minimize
retrospection bias. Two versions, the Constructive and the Value-Account
iScale, were motivated by two distinct theories on how people reconstruct
emotional experiences from memory. These two versions were tested in two
separate studies. Study 1 aimed at providing qualitative insight into the use
of iScale and compared its performance to that of free-hand sketching. Study 2
compared the two versions of iScale to free recall, a control condition that
does not influence the reconstruction process. Significant differences between
iScale and free recall were found. Overall, iScale resulted in an increase in
the amount, the richness, and the test-retest reliability of recalled
information. These results provide support for the viability of retrospective
techniques as a cost-effective alternative to longitudinal studies.
"
Electrical Engineering,eess.IV,Asynchronous Single-Photon 3D Imaging,"  Single-photon avalanche diodes (SPADs) are becoming popular in time-of-flight
depth-ranging due to their unique ability to capture individual photons with
picosecond timing resolution. However, ambient light (e.g., sunlight) incident
on a SPAD-based 3D camera leads to severe non-linear distortions (pileup) in
the measured waveform, resulting in large depth errors. We propose asynchronous
single-photon 3D imaging, a family of acquisition schemes to mitigate pileup
during data acquisition itself. Asynchronous acquisition temporally misaligns
SPAD measurement windows and the laser cycles through deterministically
predefined or randomized offsets. Our key insight is that pileup distortions
can be ""averaged out"" by choosing a sequence of offsets that span the entire
depth range. We develop a generalized image formation model and perform
theoretical analysis to explore the space of asynchronous acquisition schemes
and design high-performance schemes. Our simulations and experiments
demonstrate an improvement in depth accuracy of up to an order of magnitude as
compared to the state-of-the-art, across a wide range of imaging scenarios,
including those with high ambient flux.
"
Economics,econ.GN,Frictional Unemployment on Labor Flow Networks,"  We develop an alternative theory to the aggregate matching function in which
workers search for jobs through a network of firms: the labor flow network. The
lack of an edge between two companies indicates the impossibility of labor
flows between them due to high frictions. In equilibrium, firms' hiring
behavior correlates through the network, generating highly disaggregated local
unemployment. Hence, aggregation depends on the topology of the network in
non-trivial ways. This theory provides new micro-foundations for the Beveridge
curve, wage dispersion, and the employer-size premium. We apply our model to
employer-employee matched records and find that network topologies with
Pareto-distributed connections cause disproportionately large changes on
aggregate unemployment under high labor supply elasticity.
"
Electrical Engineering,eess.SP,"A Design of FPGA Based Small Animal PET Real Time Digital Signal
  Processing and Correction Logic","  Small animal Positron Emission Tomography (PET) is dedicated to small animal
imaging. Animals used in experiments, such as rats and monkeys, are often much
smaller than human bodies, which requires higher position and energy precision
of the PET imaging system. Besides, Flexibility, high efficiency are also the
major demands of a practical PET system. These requires a high-quality analog
front-end and a digital signal processing logic with high efficiency and
compatibility of multiple data processing modes. The digital signal processing
logic of the small animal PET system presented in this paper implements
32-channel signal processing in a single Xilinx Artix-7 family of
Field-Programmable Gate Array (FPGA). The logic is designed to support three
online modes which are regular package mode, flood map and energy spectrum
histogram. Several functions are integrated, including two-dimensional (2D) raw
position calculation, crystal identification, events filtering, etc. Besides, a
series of online corrections are also integrated, such as photon peak
correction to 511 keV and timing offset correction with crystal granularity. A
Gigabit Ethernet interface is utilized for data transfer, Look-Up Tables (LUTs)
configuration and commands issuing. The pipe-line logic processes the signals
at 125 MHz with a rate of 1,000,000 events/s. A series of initial tests are
conducted. The results indicate that the digital processing logic achieves the
expectations.
"
Physics,physics.acc-ph,Electromagnetic radiation from a laser wakefield accelerator,"  Coherent and incoherent electromagnetic radiation emitted from a laser
wakefield accelerator is calculated based on Lienard-Wiechert potentials. It is
found that at wavelengths longer than the bunch length, the radiation is
coherent. The coherent radiation, which typically lies in the infrared range,
shows features that reveal details of the acceleration process and properties
of the electron bunch, such as its duration, charge, energy, and offset with
respect to the wakefield axis. The incoherent range of the spectrum, which
extends to the X-ray frequency range, consists of rather broad peaks, which are
caused by the acceleration.
"
Physics,physics.data-an,Wrong Priors,"  All priors are not created equal. There are right and there are wrong priors.
That is the main conclusion of this contribution. I use, a cooked-up example
designed to create drama, and a typical textbook example to show the
pervasiveness of wrong priors in standard statistical practice.
"
Mathematics,math.GT,The depth of a knot tunnel,"  The theory of tunnel number 1 knots detailed in our previous paper, The tree
of knot tunnels, provides a non-negative integer invariant called the depth of
the tunnel. We give various results related to the depth invariant. Noting that
it equals the minimum number of Goda-Scharlemann-Thompson tunnel moves needed
to construct the tunnel, we calculate the number of distinct minimal sequences
of tunnel moves that can produce a given tunnel. Next, we give a recursion that
tells the minimum bridge number of a knot having a tunnel of depth D. The rate
of growth of this value improves the known estimates of the growth of bridge
number as a function of the Hempel distance of the associated Heegaard
splitting. We also give various upper bounds for bridge number in terms of the
cabling constructions needed to produce a tunnel of a knot, showing in
particular that the maximum bridge number of a knot produced by N cabling
constructions is the (N+2)nd Fibonacci number. Finally, we explicitly compute
the slope parameters for the ""short"" tunnels of torus knots. In particular, we
find a sequence of such tunnels for which the bridge numbers of the associated
knots, as a function of the depth, achieve the minimum growth rate. The actual
minimum bridge number at a given depth cannot be achieved by a torus knot.
"
Mathematics,math.LO,On long increasing chains modulo flat ideals,"  We prove that e.g. there is no omega_4-sequence in (omega_3)^{omega_3}
increasing modulo the ideal of countable sets.
"
Statistics,stat.ME,"Optimal feature selection for sparse linear discriminant analysis and
  its applications in gene expression data","  This work studies the theoretical rules of feature selection in linear
discriminant analysis (LDA), and a new feature selection method is proposed for
sparse linear discriminant analysis. An $l_1$ minimization method is used to
select the important features from which the LDA will be constructed. The
asymptotic results of this proposed two-stage LDA (TLDA) are studied,
demonstrating that TLDA is an optimal classification rule whose convergence
rate is the best compared to existing methods. The experiments on simulated and
real datasets are consistent with the theoretical results and show that TLDA
performs favorably in comparison with current methods. Overall, TLDA uses a
lower minimum number of features or genes than other approaches to achieve a
better result with a reduced misclassification rate.
"
Quantitative Biology,q-bio.PE,"Stable trimorphic coexistence in a lattice model of spatial competition
  with two site types","  I examine the effect of exogenous spatial heterogeneity on the coexistence of
competing species using a simple model of non-hierarchical competition for site
occupancy on a lattice. The sites on the lattice are divided into two types
representing two different habitats or spatial resources. The model features no
temporal variability, hierarchical competition, type-dependent interactions or
other features traditionally known to support more competing species than there
are resources. Nonetheless, stable coexistence of two habitat specialists and a
generalist is observed in this model for a range of parameter values. In the
spatially implicit mean field approximation of the model, such coexistence is
shown to be impossible, demonstrating that it indeed arises from the explicit
spatial structure.
"
Quantitative Finance,q-fin.PM,"Maximization of Non-Concave Utility Functions in Discrete-Time Financial
  Market Models","  This paper investigates the problem of maximizing expected terminal utility
in a (generically incomplete) discrete-time financial market model with finite
time horizon. In contrast to the standard setting, a possibly non-concave
utility function $U$ is considered, with domain of definition $\mathbb{R}$.
Simple conditions are presented which guarantee the existence of an optimal
strategy for the problem. In particular, the asymptotic elasticity of $U$ plays
a decisive role: existence can be shown when it is strictly greater at
$-\infty$ than at $+\infty$.
"
Electrical Engineering,eess.IV,"A biologically constrained encoding solution for long-term storage of
  images onto synthetic DNA","  Living in the age of the digital media explosion, the amount of data that is
being stored increases dramatically. However, even if existing storage systems
suggest efficiency in capacity, they are lacking in durability. Hard disks,
flash, tape or even optical storage have limited lifespan in the range of 5 to
20 years. Interestingly, recent studies have proven that it was possible to use
synthetic DNA for the storage of digital data, introducing a strong candidate
to achieve data longevity. The DNA's biological properties allows the storage
of a great amount of information into an extraordinary small volume while also
promising efficient storage for centuries or even longer with no loss of
information. However, encoding digital data onto DNA is not obvious, because
when decoding, we have to face the problem of sequencing noise robustness.
Furthermore, synthesizing DNA is an expensive process and thus, controlling the
compression ratio by optimizing the rate-distortion trade-off is an important
challenge we have to deal with. This work proposes a coding solution for the
storage of digital images onto synthetic DNA. We developed a new encoding
algorithm which generates a DNA code robust to biological errors coming from
the synthesis and the sequencing processes. Furthermore, thanks to an optimized
allocation process the solution is able to control the compression ratio and
thus the length of the synthesized DNA strand. Results show an improvement in
terms of coding potential compared to previous state-of-the-art works.
"
Computer Science,cs.CL,Statistical Physics for Natural Language Processing,"  This paper has been withdrawn by the author.
"
Statistics,stat.ME,Enhancing Bayesian risk prediction for epidemics using contact tracing,"  Contact tracing data collected from disease outbreaks has received relatively
little attention in the epidemic modelling literature because it is thought to
be unreliable: infection sources might be wrongly attributed, or data might be
missing due to resource contraints in the questionnaire exercise. Nevertheless,
these data might provide a rich source of information on disease transmission
rate. This paper presents novel methodology for combining contact tracing data
with rate-based contact network data to improve posterior precision, and
therefore predictive accuracy. We present an advancement in Bayesian inference
for epidemics that assimilates these data, and is robust to partial contact
tracing. Using a simulation study based on the British poultry industry, we
show how the presence of contact tracing data improves posterior predictive
accuracy, and can directly inform a more effective control strategy.
"
Electrical Engineering,eess.SP,A complete framework for linear filtering of bivariate signals,"  A complete framework for the linear time-invariant (LTI) filtering theory of
bivariate signals is proposed based on a tailored quaternion Fourier transform.
This framework features a direct description of LTI filters in terms of their
eigenproperties enabling compact calculus and physically interpretable
filtering relations in the frequency domain. The design of filters exhibiting
fondamental properties of polarization optics (birefringence, diattenuation) is
straightforward. It yields an efficient spectral synthesis method and new
insights on Wiener filtering for bivariate signals with prescribed
frequency-dependent polarization properties. This generic framework facilitates
original descriptions of bivariate signals in two components with specific
geometric or statistical properties. Numerical experiments support our
theoretical analysis and illustrate the relevance of the approach on synthetic
data.
"
Electrical Engineering,eess.IV,Compressive Spectral Imaging with Diffractive Lenses,"  Compressive spectral imaging enables to reconstruct the entire
three-dimensional (3D) spectral cube from a few multiplexed images. Here, we
develop a novel compressive spectral imaging technique using diffractive
lenses. Our technique uses a coded aperture to spatially modulate the optical
field from the scene and a diffractive lens such as a photon-sieve for
dispersion. The coded field is passed through the diffractive lens and then
measured at a few planes using a monochrome detector. The 3D spectral cube is
then reconstructed from these highly compressed measurements through sparse
recovery. A fast sparse recovery method is developed to solve this large-scale
inverse problem. The imaging performance is illustrated at visible regime for
various scenarios with different compression ratios through numerical
simulations. The results demonstrate that promising reconstruction performance
can be achieved with as little as two measurements. This opens up new
possibilities for high resolution spectral imaging with low-cost and simple
designs.
"
Nonlinear Sciences,nlin.PS,"Short pulse equations and localized structures in frequency band gaps of
  nonlinear metamaterials","  We consider short pulse propagation in nonlinear metamaterials characterized
by a weak Kerr-type nonlinearity in their dielectric response. In the frequency
""band gaps"" (where linear electromagnetic waves are evanescent) with linear
effective permittivity \epsilon<0 and permeability \mu>0, we derive two
short-pulse equations (SPEs) for the high- and low-frequency band gaps. The
structure of the solutions of the SPEs is also briefly discussed, and
connections with the soliton solutions of the nonlinear Schrodinger equation
are presented.
"
Economics,econ.TH,Signaling Games with Costly Monitoring,"  If in a signaling game the receiver expects to gain no information by
monitoring the signal of the sender, then when a cost to monitor is implemented
he will never pay that cost regardless of his off-path beliefs. This is the
argument of a recent paper by T. Denti (2021). However, which pooling
equilibrium does a receiver anticipate to gain no information through
monitoring? This paper seeks to prove that given a sufficiently small cost to
monitor any pooling equilibrium with a non-zero index will survive close to the
original equilibrium.
"
Quantitative Biology,q-bio.NC,"Comparison of two models of electric neuro-stimulation and consequences
  for the design of retinal prostheses","  Two simple mathematical models of electric neuro-stimulation are derived and
discussed. It is found that the common injected-charge model is less realistic
than a model, in which a latency period, which follows after a short electric
pulse, plays a role as important as the electric pulse. A stimulation signal is
proposed that takes advantage of these findings and calls for experimental
testing.
"
Electrical Engineering,eess.SP,"Compressed Air Energy Storage-Part II: Application to Power System Unit
  Commitment","  Unit commitment (UC) is one of the most important power system operation
problems. To integrate higher penetration of wind power into power systems,
more compressed air energy storage (CAES) plants are being built. Existing
cavern models for the CAES used in power system optimization problems are not
accurate, which may lead to infeasible solutions, e.g., the air pressure in the
cavern is outside its operating range. In this regard, an accurate CAES model
is proposed for the UC problem based on the accurate bi-linear cavern model
proposed in the first paper of this two-part series. The minimum switch time
between the charging and discharging processes of CAES is considered. The whole
model, i.e., the UC model with an accurate CAES model, is a large-scale mixed
integer bi-linear programming problem. To reduce the complexity of the whole
model, three strategies are proposed to reduce the number of bi-linear terms
without sacrificing accuracy. McCormick relaxation and piecewise linearization
are then used to linearize the whole model. To decrease the solution time, a
method to obtain an initial solution of the linearized model is proposed. A
modified RTS-79 system is used to verify the effectiveness of the whole model
and the solution methodology.
"
Quantitative Biology,q-bio.BM,Protein conformational dynamics and electronic structure,"  Quantum mechanical calculations are performed on 116 conformers of the
protein ubiquitin (Lange et al., Science 2008, 320, 1471-1475). The results
indicate that the heat of formation (HOF), dipole moment, energy of the
frontier orbitals HOMO and LUMO, and HOMO-LUMO gap fluctuate within their
corresponding ranges. This study thus provides a link between the
conformational dynamics of a protein and its electronic structure.
"
Electrical Engineering,eess.SY,Finite Horizon Robust Synthesis Using Integral Quadratic Constraints,"  We present a robust synthesis algorithm for uncertain linear time-varying
(LTV) systems on finite horizons. The uncertain system is described as an
interconnection of a known LTV system and a perturbation. The input-output
behavior of the perturbation is specified by time-domain Integral Quadratic
Constraints (IQCs). The objective is to synthesize a controller to minimize the
worst-case performance. This leads to a non-convex optimization. The proposed
approach alternates between an LTV synthesis step and an IQC analysis step.
Both induced $\mathcal{L}_2$ and terminal Euclidean norm penalties on output
are considered for finite horizon performance. The proposed algorithm ensures
that the robust performance is non-increasing at each iteration step. The
effectiveness of this method is demonstrated using numerical examples.
"
